sample_id,n_match_genomes_fmg,avg_f_match,avg_median_abund,n_unique_weighted
ERR2592259,45038,0.010461833364634826,1.5850726053554776,482761
ERR2592262,17539,0.010617215750346508,1.2612748731398598,99764
ERR2592263,43603,0.0113878960782456,1.4848748939293168,482546
ERR2592264,53681,0.010753072405424105,1.332771371621244,426654
ERR2592265,40450,0.010752259843505498,1.368158220024722,329157
ERR2592266,61910,0.012686331783885322,1.371087061863996,570483
ERR2592267,48010,0.010232168731829486,1.592303686731931,468204
ERR2592268,50820,0.011957539637578682,1.3925324675324675,383361
ERR2592269,40254,0.010817760440536938,1.502037064639539,337524
ERR2592270,25414,0.01073976558557219,1.5225072794522705,232672
ERR2592271,32893,0.01215634017898492,1.4553856443620223,300236
ERR2592273,27925,0.009405636532464052,1.8137869292748434,350724
ERR2592274,39656,0.011286243214299791,1.5569522896913455,371897
ERR2592275,38908,0.010625800583710678,1.2781561632569138,233429
ERR2592278,44591,0.010946081317716108,1.4933058240452108,452700
ERR2592279,41923,0.010637171060167499,1.5671588388235576,397381
ERR2592280,50749,0.01181460305450512,1.4417623992590987,505341
ERR2592282,42471,0.011747428306292575,1.4525794071248617,375098
ERR2592283,84484,0.013316484725610308,1.572960560579518,1138458
ERR2592328,37641,0.010314955548305927,1.5318004303817645,312093
ERR2592329,61354,0.012173171297437512,1.858265149786485,989774
ERR2592331,28945,0.009967635911953564,1.4461392295733286,180099
ERR2592332,44136,0.01067620903088881,1.567620536523473,436568
ERR2592333,28046,0.009522756764139132,1.6428367681665834,186995
ERR2592334,48186,0.01168640301613957,1.7931038060847548,585262
ERR2592335,21798,0.009786496295108412,1.4338242040554179,155435
ERR2592336,29201,0.010715495727848365,1.4648813396801479,197206
ERR2592337,37030,0.0112464000944058,1.619524709694842,358954
ERR2592338,71430,0.014567954189131047,1.5657916841663166,910029
ERR2592340,46886,0.010562171177370707,1.6151196519216824,371567
ERR2592341,29103,0.009832390795612208,1.6003332989726144,231211
ERR2592342,57358,0.010868617421122053,1.539096551483664,555036
ERR2592343,63155,0.011953952041934215,1.6537724645712928,748224
ERR2597329,37764,0.017794091552460856,1.6276612646965365,552789
ERR2597331,34272,0.01763129659671979,1.5322712418300655,551460
ERR2597335,26747,0.01730672604354878,1.4741466332672823,449841
ERR2597341,35390,0.019509800574348733,1.8042526137326929,642666
ERR2597354,29275,0.019880305311564615,1.4574551665243383,387064
ERR2597355,29406,0.019432407971215215,1.4715874311365027,430099
ERR2597356,50228,0.018923451460632592,2.192402643943617,1016342
ERR2597360,40661,0.019787302318227642,2.15608322471164,1057422
ERR2597372,34132,0.016923617891205518,1.5710623461853979,452335
ERR2597374,42233,0.016182467019464672,1.591551630241754,580875
ERR2597377,37603,0.01585008289680915,1.6486849453501051,388667
ERR2597380,33693,0.01698291192555673,1.6689816875908943,428249
ERR2597388,36652,0.015927898960809386,1.4601249590745389,392800
ERR2597413,57285,0.016386245335716212,1.693253033080213,894148
ERR2597415,52453,0.01494578976326215,1.635502259165348,655814
ERR2597416,48547,0.014310041338200154,1.7062743320905513,677220
ERR2597421,77659,0.016798886412482134,1.9888615614416874,1587630
ERR2597427,52319,0.015137374501434554,1.6759399071083163,759154
ERR2597429,59731,0.014798931615240964,1.7698012757194757,752691
ERR2597439,44074,0.01555992597728661,1.5358487997458818,564996
ERR2597442,39155,0.01537351038460008,1.6226535563784956,387639
ERR2597446,40838,0.0161849512096961,1.6704662324305795,534459
ERR2597462,27548,0.016014686378015074,1.8019275446493392,318994
ERR2597468,30025,0.015300450010283777,1.7094254787676937,307416
ERR2597471,31684,0.015334285549862395,1.7741131170306779,346352
ERR2597489,92102,0.01718563840239992,1.9202894616837853,1889282
ERR2597490,88863,0.015985348240293063,1.776836253558849,1487251
ERR2597491,75355,0.01565593676436417,1.629208413509389,1259286
ERR2597503,48924,0.01610068053523387,2.091928296950372,607607
ERR2597509,56893,0.015269057393912558,1.7261526022533529,749935
ERR2597510,75373,0.015496436204679147,1.5527708861263316,1061723
ERR2597511,64559,0.015291675911517331,1.6782555491875648,967717
ERR2597514,33728,0.0170665475596397,1.7575456593927894,450936
ERR2597515,52992,0.016317975456144447,1.836814990942029,972850
ERR2597525,107497,0.01809696465432354,2.0174516498134833,2533246
ERR2597529,82166,0.016157137856241854,1.889650220285763,1377461
ERR2597533,45768,0.016623765865044122,1.8132319524558644,658545
ERR2607376,37641,0.010314955548305927,1.5318004303817645,312093
ERR2607377,34922,0.00973394820973855,1.5626109615715023,380919
ERR2607378,10930,0.010573781926715256,1.3403934126258006,77786
ERR2607379,47616,0.012399463468134206,1.6909442204301075,742543
ERR2607380,5821,0.00964214155638923,1.3136918055316955,32214
ERR2607381,29760,0.010663184660420643,1.5506720430107528,312896
ERR2607383,28103,0.010073742547729256,1.6570472903248763,314888
ERR2607384,27203,0.012447491980504878,1.508216005587619,291017
ERR2607385,15708,0.010858884402325205,1.4268207282913166,120056
ERR2607386,39249,0.011854587056337105,1.4673367474330556,404111
ERR2607387,37666,0.013043632649063414,1.5566558700153985,453095
ERR2607388,29541,0.010905954006651388,1.593581801563928,355753
ERR2607389,17828,0.009716707833379605,1.4633161319273054,149195
ERR2607390,40264,0.010482998064323491,1.559594178422412,458405
ERR2607391,38593,0.011466011261685236,1.6932474801129738,529304
ERR2607392,6678,0.009214159777041694,1.4970799640610961,45814
ERR2607393,30546,0.009860858900067746,1.7906436194591764,359214
ERR2607394,61978,0.010423434748502464,1.965035980509213,529670
ERR2607395,37480,0.008580217962910147,1.8410352187833512,221230
ERR2607396,68487,0.010970561846849846,1.9215763575569087,595976
